Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
KOTHARIPRO,70,Elec-MiscProducts,1.77,104.4,-42.5,221.49,-16.7,-2
HEXATRADEX,67,Elec-MiscProducts,4.74,157.5,-11.9,0,-100,-100
ASTRAMICRO,55,Elec-MiscProducts,5,87.3,7.5,258.54,12.6,11.9
SATINDLTD,55,Elec-MiscProducts,1.24,-5.3,11.7,157.3,14.1,33
HONAUT,49,Elec-MiscProducts,149.41,14.8,3.2,1090.8,6.5,1.8
ADANIENT,42,Elec-MiscProducts,0.5,-96.7,-97,22848.42,1.1,-8.8
RPTECH,37,Elec-MiscProducts,4.83,-54.4,NA,2826.31,-23.7,7.7
STCINDIA,30,Elec-MiscProducts,0.27,121.6,-88.9,0,-100,-100
AFFORDABLE,16,Elec-MiscProducts,-12.4,-13.4,NA,78.14,78.6,NA
INDLMETER,99,Electrical - Power Equipment,NA,NA,NA,NA,NA,NA
TARAPUR,99,Electrical - Power Equipment,1.24,464.7,6300,0,-100,-100
PIGL,95,Electrical - Power Equipment,1.79,-26,152.1,33.37,-39.3,123.7
POWERINDIA,95,Electrical - Power Equipment,32.41,162.6,489.3,1620.27,4.3,27.2
RAMRAT,91,Electrical - Power Equipment,3.73,-2.4,39.2,888.67,-5.4,27.2
QUADFUTURE,91,Electrical - Power Equipment,-2.82,30,NA,27.01,-58.4,NA
UEL,90,Electrical - Power Equipment,0.37,362.5,-89.3,8.17,72.4,39.9
SERVOTECH,85,Electrical - Power Equipment,0.36,-30.8,620,216.29,8.1,300.5
DIACABS,82,Electrical - Power Equipment,0.12,33.3,NA,307.42,22.8,NA
GODHA,82,Electrical - Power Equipment,0.03,50,-57.1,13.73,-83.5,19514.3
GVT&D,81,Electrical - Power Equipment,5.57,-1.6,175.7,1073.65,-3.1,28
SKIPPER,81,Electrical - Power Equipment,3.19,5.6,92.2,1135.25,2.3,41.6
SALZERELEC,79,Electrical - Power Equipment,8.24,-44.4,13.8,333.82,-0.8,27.2
CGPOWER,76,Electrical - Power Equipment,1.57,7.5,-68.3,2515.68,4.3,27.1
MODISONLTD,74,Electrical - Power Equipment,1.79,-29,35.6,121.21,-1.1,12.4
MCL,73,Electrical - Power Equipment,0.34,-2.9,230.8,32.86,27.6,142.7
TDPOWERSYS,70,Electrical - Power Equipment,2.88,8.7,44.7,350.33,14.3,44.4
QPOWER,70,Electrical - Power Equipment,4.56,NA,NA,156,NA,NA
PRECWIRE,69,Electrical - Power Equipment,1.06,-1.9,-2.8,982.26,-5.9,22
AARTECH,64,Electrical - Power Equipment,0.57,9.6,-9.5,9.55,1.1,29.2
CMICABLES,60,Electrical - Power Equipment,NA,NA,NA,NA,NA,NA
HEG,59,Electrical - Power Equipment,4.32,1.4,-62.1,478.38,-15.7,-14.9
INTLCONV,58,Electrical - Power Equipment,3.16,-25.5,0.6,26.09,-15.3,15.3
UNIVCABLES,56,Electrical - Power Equipment,4.56,-13.5,-34.8,607.54,-4.8,30.2
PITTIENG,55,Electrical - Power Equipment,6.45,-32.9,53.2,363.71,-4.1,23.8
CORDSCABLE,54,Electrical - Power Equipment,3.62,78.3,53.4,205.4,12.3,22.3
HAVELLS,53,Electrical - Power Equipment,4.44,3.7,-3.3,4888.98,7.7,10.8
HPL,53,Electrical - Power Equipment,2.81,-16.4,44.1,392.48,-7.1,7.3
SBCL,52,Electrical - Power Equipment,3.17,-8.4,11.6,123.28,-2.7,9.8
PREMIERENE,52,Electrical - Power Equipment,5.66,23.9,NA,1713.32,12.2,NA
KECL,51,Electrical - Power Equipment,0.09,-88.5,-71.9,119.75,-25.9,-5.1
EVEREADY,49,Electrical - Power Equipment,1.8,-55.9,44,333.5,-8,9.3
SCHNEIDER,48,Electrical - Power Equipment,4.62,102.6,20,857.2,42.9,15.2
WAAREEENER,47,Electrical - Power Equipment,17.15,24.8,NA,3457.29,-3.3,NA
VGUARD,46,Electrical - Power Equipment,1.1,-8.3,-4.3,1185.25,-3.6,9.9
GEEKAYWIRE,43,Electrical - Power Equipment,1.84,4.5,-11.1,113.3,-8.5,6.8
MSUMI,43,Electrical - Power Equipment,0.32,-5.9,-28.9,2300.28,-1.1,8.8
GENUSPOWER,40,Electrical - Power Equipment,2.24,-17.9,822.6,604.2,24.1,132.5
KEI,39,Electrical - Power Equipment,17.87,4.2,7,2467.2,8.2,19.8
POLYCAB,39,Electrical - Power Equipment,30.42,4,10.7,5226.06,-5,20.4
NIPPOBATRY,39,Electrical - Power Equipment,-16.09,-656.7,-444.5,121.63,-4.7,-27.8
BHAGYANGR,36,Electrical - Power Equipment,1.25,6.8,33,394.48,-3.3,17.7
SMLT,35,Electrical - Power Equipment,0.89,45.9,-32.6,44,-3.8,-41.6
ABB,30,Electrical - Power Equipment,24.94,20,55.1,3364.93,15.5,22
GRAPHITE,29,Electrical - Power Equipment,-1.02,-110.2,-203,523,-18.7,-24.2
S&SPOWER,29,Electrical - Power Equipment,-4.28,-241.7,-194.5,39.32,-27.9,-15.5
APARINDS,28,Electrical - Power Equipment,43.55,-9.6,-19.7,4716.42,1.5,17.7
VETO,27,Electrical - Power Equipment,1.96,-36.8,-23.7,75.71,1.9,-7.8
BAJEL,25,Electrical - Power Equipment,0.13,-59.4,-66.7,622.39,-6,126.2
HONDAPOWER,24,Electrical - Power Equipment,18.82,123.3,-32.8,204.18,15.2,-22.5
PLAZACABLE,24,Electrical - Power Equipment,0.05,0,-68.8,49.63,3.7,-1.1
HBLENGINE,18,Electrical - Power Equipment,2.33,-26.3,-20.5,450.56,-13.5,-24.8
FINCABLES,16,Electrical - Power Equipment,8.1,-15.2,-3.8,1182.11,-9.9,-3.2
RRKABEL,7,Electrical - Power Equipment,6.03,36.7,-5,1782.15,-1.5,9.1
WSI,6,Electrical - Power Equipment,-3.73,-711.5,-223.1,65.59,5.6,-40.6
RISHABH,5,Electrical - Power Equipment,2.22,103.7,5.7,181.19,-0.6,13.7
EXICOM,4,Electrical - Power Equipment,-4.05,-189.3,-493.2,196.63,28.2,-24.7
DENORA,3,Electrical - Power Equipment,-14.71,-337.6,-219.6,17.56,-3.3,-40.5
SWELECTES,1,Electrical - Power Equipment,-7.1,-230.8,-233.5,91.38,-53.8,43.7
MARINE,80,Electronic-Parts,0.38,-59.1,-24,193.8,5.3,32.1
MICEL,70,Electronic-Parts,0.09,0,-50,11.75,4.8,-33
DELTAMAGNT,9,Electronic-Parts,-5.39,-98.2,-149.5,15.11,-23.3,-26.5
PGEL,99,EMS,1.4,89.2,89.2,967.69,44.1,81.9
AMBER,96,EMS,10.61,85.8,7678.6,2133.33,26.6,64.8
DIXON,93,EMS,28.5,-58.6,75.8,10453.68,-9.4,117
AVALON,92,EMS,3.63,36.5,242.5,280.85,2.1,31
KAYNES,83,EMS,10.38,10.3,46.8,661.18,15.6,29.9
SYRMA,65,EMS,2.75,34.8,216.1,869.2,4.4,23
MOSCHIP,55,EMS,0.58,13.7,383.3,126.16,0.1,40.2
CENTUM,20,EMS,-14.96,-6133.3,-363.4,281.34,8.3,-5.7
CYIENTDLM,9,EMS,1.39,-29.1,-40.3,444.2,14.1,38.3
ELIN,7,EMS,0.28,-71.1,-54.1,266.32,-12.6,12.5
SURANAT&P,84,Energy-Alternative,0.06,-62.5,-53.8,3.77,24.4,-37.1
SAMPANN,82,Energy-Alternative,0.29,207.4,583.3,23.84,12.8,38.5
IWEL,78,Energy-Alternative,32.21,51.1,600.9,912.04,24.4,80.9
SUZLON,75,Energy-Alternative,0.29,81.2,31.8,2974.83,41.4,90.6
INOXWIND,74,Energy-Alternative,0.89,23.6,709.1,911.27,24.4,81
NHPC,52,Energy-Alternative,0.23,-74.4,-58.2,2286.76,-25.1,11.2
ZODIAC,48,Energy-Alternative,3.78,129.1,79.1,104.33,97.6,122
INOXGREEN,44,Energy-Alternative,0.11,-38.9,175,61.13,10.7,1.8
JPPOWER,41,Energy-Alternative,0.18,-35.7,-47.1,1140.17,-7,-47.9
INDOWIND,33,Energy-Alternative,0,-100,-100,7.94,-40.7,-19.1
RTNPOWER,32,Energy-Alternative,0.01,NA,100.9,733.32,7.4,-9.1
KPIGREEN,26,Energy-Alternative,4.29,20.5,-49.2,458.36,27.4,38.8
SJVN,22,Energy-Alternative,0.38,-66.4,-13.6,670.99,-34.6,23.5
DPSCLTD,19,Energy-Alternative,0.03,-25,-76.9,159.06,4,10.8
URJA,17,Energy-Alternative,0.01,0,-50,20.2,3.6,84.5
GREENPOWER,15,Energy-Alternative,-0.2,-134.5,-11.1,34.5,-72.2,1.4
GVKPIL,6,Energy-Alternative,-0.09,-102,69,143.24,-63.4,6.3
ADANIGREEN,3,Energy-Alternative,3.11,77.7,92,2365,-22.6,2.3
COALINDIA,55,Energy-Coal,13.8,35.2,-16.5,35779.78,16.6,-1
SINDHUTRAD,8,Energy-Coal,-0.05,-106.6,-107.2,510.87,38.2,22.7
ANMOL,4,Energy-Coal,0.07,-63.2,-91.7,253.32,36.3,-37.3
WEBELSOLAR,93,Energy-Solar,9.57,-1,174.2,147.31,2.6,24451.7
SURANASOL,50,Energy-Solar,0.03,-57.1,-62.5,10.64,-25.8,138.6
DEEPAKFERT,95,Fertilizers,19.86,19.4,330.8,2579.02,-6.1,39.2
CHAMBLFERT,94,Fertilizers,13.34,-0.4,19.9,4918.06,13.2,13.1
COROMANDEL,91,Fertilizers,17.37,-23,119.3,6935.19,-6.7,26.9
MANGCHEFER,85,Fertilizers,4.84,117,70.4,967.66,24.6,51
ARIES,58,Fertilizers,8.9,-38.7,45.7,170.36,-12,15.7
GSFC,48,Fertilizers,3.36,-55.1,15.5,2814.07,6.8,40.2
NOVAAGRI,44,Fertilizers,1.14,56.2,-26.9,88.19,6.6,12.3
GNFC,41,Fertilizers,10.75,54.7,63.9,1899,-0.9,-9.1
FACT,38,Fertilizers,0.12,-33.3,-77.8,949.42,-34.5,-13.5
MADRASFERT,37,Fertilizers,4.63,4530,247.9,799.52,50.2,43.8
RCF,33,Fertilizers,1.45,1.4,400,4518.35,5.3,-7.9
NFL,29,Fertilizers,0.93,272,-68.4,5855.85,33.4,-22.8
AGROPHOS,24,Fertilizers,1.23,434.8,143.5,22.81,-27.7,25.9
NAGAFERT,13,Fertilizers,-0.04,83.3,98.4,-168.79,-17867.4,-114
MASKINVEST,98,Finance & Investment,0.03,-70,-96.6,0.04,-89.2,-92.6
BAJAJHLDNG,92,Finance & Investment,157.09,21.7,6.2,126.33,-54.7,16.9
NSIL,91,Finance & Investment,15.89,-76.7,-52.8,13.55,-77.3,-47.3
BAJAJFINSV,88,Finance & Investment,13.97,6.9,2.8,32041.81,-4.9,10.3
WEALTH,86,Finance & Investment,8.43,-40.9,-11.6,15.78,-19,4.9
HYBRIDFIN,84,Finance & Investment,0.11,-71.1,-42.1,1.28,-30.1,14.3
KFINTECH,83,Finance & Investment,5.25,0.6,33.9,290.02,3.4,32.5
TPHQ,82,Finance & Investment,0,-100,NA,94.45,-35.1,-27.2
EDELWEISS,77,Finance & Investment,1.32,12.8,-7,1928.35,-31.9,-19.6
PRUDENT,73,Finance & Investment,11.64,-6.4,33.8,285.04,-0.4,35.7
NUVAMA,73,Finance & Investment,70.27,-2.6,40.1,1031.82,-1.9,22.7
CMSINFO,71,Finance & Investment,5.71,2.3,-8.6,581.49,-6.9,-0.2
RELIGARE,70,Finance & Investment,-1.3,-183.9,-291.2,1664.43,-14.7,10.2
ANANDRATHI,66,Finance & Investment,9.28,-49,-33,237.04,-2.2,29.9
LTF,64,Finance & Investment,2.51,-10.4,-2.3,4097.58,1.9,15.9
JMFINANCIL,63,Finance & Investment,2.19,-9.9,-24.7,1106.14,-7.1,-10.5
SILINV,62,Finance & Investment,13.03,-15.5,25,22.35,-9.8,5.2
TATAINVEST,61,Finance & Investment,3.88,-84.1,-63.3,3.71,-97.4,-92.7
SUVIDHAA,58,Finance & Investment,-0.15,0,21.1,1.28,-56.5,-40.7
GANGESSECU,57,Finance & Investment,1.03,-85.8,-25.9,13.1,-13.8,0.3
CAMS,53,Finance & Investment,23.87,2.1,36.4,347.55,1.6,19.9
JINDALPHOT,46,Finance & Investment,23.89,-80.3,-72.7,0.48,-42.2,-5.9
LFIC,45,Finance & Investment,-6.73,-158.3,-154.1,2.02,-58.1,-61.2
ABCAPITAL,42,Finance & Investment,2.72,-29.2,-6.5,9381.35,-9.1,6.6
KICL,41,Finance & Investment,7.4,-91,-47.1,5.62,-88.5,26.9
BFINVEST,35,Finance & Investment,1.86,-80.6,-88,9.26,-50.3,1.3
RADIANTCMS,31,Finance & Investment,1.15,-0.9,-3.4,105.62,3.1,5.1
ALANKIT,28,Finance & Investment,0.19,46.2,-57.8,72.77,13,38.2
MASTERTR,11,Finance & Investment,3.13,-4.6,19.5,147.88,-3.8,19.2
NORTHARC,10,Finance & Investment,4.69,-32.5,NA,576.08,0.5,NA
ONELIFECAP,4,Finance & Investment,-2.04,59.5,-603.4,1.33,-14.2,-14.7
AHL,3,Finance & Investment,5.13,1.4,16.3,1280.14,99.6,152.9
UNIVAFOODS,94,Finance-BlankCheck,-0.08,NA,-500,0,-100,-100
IEL,92,Finance-CommercialLoans,-0.11,81.7,-22.2,13.32,0.5,-11.9
INDIASHLTR,89,Finance-CommercialLoans,8.91,6.3,51.5,303.96,7.7,45.7
STARTECK,85,Finance-CommercialLoans,3.07,-16.3,10.8,7.67,-9.3,2.5
SBFC,81,Finance-CommercialLoans,0.81,2.5,19.1,333.17,6.1,26.2
FIVESTAR,80,Finance-CommercialLoans,9.33,1.9,24.4,727.38,3.6,28.2
PEL,64,Finance-CommercialLoans,1.71,-76.3,101.6,2448.58,7,-1.1
FEDFINA,37,Finance-CommercialLoans,0.5,-71.4,-71.8,533.05,3.9,28.9
MUTHOOTMF,11,Finance-CommercialLoans,0.22,-93.9,-97,680.78,2.1,17.1
RVHL,80,Finance-PropertyREIT,-0.19,-1800,9.5,0.14,-12.5,-33.3
TARC,10,Finance-PropertyREIT,-0.97,57.3,7.6,9.35,115.9,-0.3
IITL,88,Finance-PublInvFd-Bal,-2.29,-155.2,-114.6,-4.19,-128.9,-155.9
STEL,63,Finance-PublInvFd-Bal,0.05,-98.4,0,0.3,-96.2,0
PILANIINVS,42,Finance-PublInvFd-Bal,12.08,-82.8,-75.9,60.94,-50.4,-1.2
JPOLYINVST,40,Finance-PublInvFd-Bal,31.8,-76.1,-66.9,7.8,-1.9,4.1
AFIL,19,Finance-Savings&Loan,2.09,8.9,7.2,28.07,16.7,43.3
ESAFSFB,10,Finance-Savings&Loan,-4.09,-10.8,-281,949.89,-4.7,-2.5
63MOONS,97,Financial Services-Specialty,-3.62,11.7,-117.9,11.78,-69.4,-92.7
TIMESGTY,96,Financial Services-Specialty,0.64,12.3,6.7,0.85,-5.6,-2.3
BSE,95,Financial Services-Specialty,16.23,-36.6,101.6,831.74,2.3,95.2
AVONMORE,95,Financial Services-Specialty,0.01,-80,-99.5,35.25,-35.1,9.7
PAYTM,92,Financial Services-Specialty,-3.27,-122.4,5.5,1827.8,10.1,-35.9
MCX,75,Financial Services-Specialty,31.38,4.2,3269.7,301.38,5.5,57.3
IEX,70,Financial Services-Specialty,1.21,-0.8,17.5,132.05,-5.2,14.5
CDSL,61,Financial Services-Specialty,6.22,-19.8,-39.8,278.11,-13.7,29.6
SUMMITSEC,53,Financial Services-Specialty,-4.46,-106.5,-133,1,-99.1,-94.4
VIJIFIN,52,Financial Services-Specialty,-0.01,50,NA,0.59,-3.3,15.7
TFCILTD,48,Financial Services-Specialty,2.44,-11.6,-22.3,57.22,-11.4,-15
WILLAMAGOR,34,Financial Services-Specialty,5.25,31.6,138.6,0.49,-64.5,-19.7
INTELLECT,30,Financial Services-Specialty,5.06,32.1,-18,609.63,9.2,-3.9
CSLFINANCE,28,Financial Services-Specialty,7.36,-6.1,-0.8,53.39,-1.3,17.4
PFS,26,Financial Services-Specialty,1.05,41.9,20.7,158.07,-3.3,-22.7
IGIL,21,Financial Services-Specialty,2.63,-4.7,NA,265,6,6
MOBIKWIK,3,Financial Services-Specialty,-7.12,NA,NA,269.48,NA,NA
DAMCAPITAL,3,Financial Services-Specialty,7.28,137.1,NA,103.93,65,131
AGSTRA,0,Financial Services-Specialty,-15.17,-1323.4,-1164.2,209.6,-40.4,-43.9
GRMOVER,95,Food Products,1.99,65.8,-13.5,244.51,63.1,-31.6
PRUDMOULI,94,Food Products,0.31,-50,-57.5,32.3,68.8,25.3
LTFOODS,92,Food Products,4.13,-3.3,-7.2,2274.81,7.9,17.2
CLSEL,90,Food Products,5.61,8.5,-25.5,395.3,7,-1.2
EIFFL,86,Food Products,0.71,129,39.2,47.78,45.9,58.2
PATANJALI,84,Food Products,10.25,19.9,69.4,9103.13,11.6,15.1
VIDHIING,72,Food Products,2.54,21.5,47.7,98.52,7.9,56.3
NESTLEIND,71,Food Products,7.22,-29.5,4.8,4779.73,-6.4,3.9
BIKAJI,69,Food Products,1.23,-57.4,-39.7,676.34,-5.2,10.3
ADFFOODS,67,Food Products,1.71,-5,-6,147.49,-8.6,13.7
KRBL,65,Food Products,5.79,28.7,-1.9,1681.9,32.4,17
KOHINOOR,61,Food Products,-2.24,-22300,-5500,19.49,-16.7,-16.4
BBTC,58,Food Products,48.58,34.1,-25.9,4684.91,-1.6,8
MUKKA,56,Food Products,0.88,1000,57.1,303.15,103.1,-41.4
KHAITANLTD,52,Food Products,1.62,11,290.6,17.89,21,29.5
ZYDUSWELL,51,Food Products,1.01,-69.3,676.9,461.9,-6.3,14.5
NGIL,50,Food Products,0,100,100,14.23,50.9,-1.9
KMSUGAR,50,Food Products,1.37,158.5,291.4,165.76,-2.8,45.4
SCPL,40,Food Products,2.04,-4.7,-22.4,51.01,-3.8,-18.7
GOPAL,34,Food Products,0.43,-81.5,-71.3,393.57,-2.3,7.1
FCONSUMER,32,Food Products,-0.07,-800,-800,113.9,8.5,16.6
FOODSIN,26,Food Products,0.11,-92.9,-85.3,189.43,12.3,26.4
SARVESHWAR,17,Food Products,0.07,-22.2,-36.4,282.15,4,23
AKG,16,Food Products,0.05,0,-66.7,29.61,-12.3,-34
VISHWARAJ,13,Food Products,0.03,103,-98.3,93.2,0.4,-12.3
SAKUMA,9,Food Products,0.02,100,-92.9,477.74,40.8,-38.7
HNDFDS,76,Food-Grain&Related,2.5,24.4,23.2,879.73,-0.4,20.6
BECTORFOOD,73,Food-Grain&Related,5.63,-11.3,-5.5,492.12,-0.8,14.7
BRITANNIA,69,Food-Grain&Related,24.15,9.4,4.2,4592.61,-1.6,7.9
MEGASTAR,55,Food-Grain&Related,0.43,-66.9,-69.5,88.61,4.5,22
SKMEGGPROD,22,Food-Grain&Related,2.86,-12.8,-36.7,135.09,6,-11.7
GODREJAGRO,91,Food-MeatProducts,5.8,-0.7,20.1,2449.63,0,4.4
COASTCORP,66,Food-MeatProducts,0.29,-23.7,-87.3,183.55,18.6,71.4
VENKEYS,59,Food-MeatProducts,14.47,162.6,360.3,881.61,13.9,-7.5
HMAAGRO,14,Food-MeatProducts,0.41,-61,-59,1454.98,-0.7,16.2
CAMPUS,71,Footwear,1.52,216.7,65.2,514.8,54.5,9
BATAINDIA,55,Footwear,4.57,13.1,0,918.79,9.7,1.7
KHADIM,50,Footwear,0.63,-50.4,-42.2,160.17,-0.3,2.5
SREEL,49,Footwear,2.69,-3.9,-11.5,55.42,-11.6,-4.9
LIBERTSHOE,47,Footwear,1.39,152.7,768.8,160.1,-6.8,5.2
REDTAPE,42,Footwear,1.32,-27.1,-70.5,664.57,59.8,7.6
MIRZAINT,30,Footwear,-0.41,-195.3,-200,114.38,-43.2,-19.3
RELAXO,5,Footwear,1.33,-10.1,-18.9,666.9,-1.8,-6.4
MGL,68,Gas Distribution,22.82,-20.3,-29.1,1757.58,2.7,12
IGL,59,Gas Distribution,4.66,-28.3,-31.6,4146.09,12.1,16.8
GSPL,45,Gas Distribution,4.15,-17,-41.5,4360.47,9.2,-0.7
HAVISHA,41,Gas Distribution,-0.03,NA,-175,4.03,-9.8,0.8
GAIL,36,Gas Distribution,6.21,51.1,26.2,36834.73,8.7,6.2
ATGL,28,Gas Distribution,1.29,-23.7,-19.9,1294.46,6.2,12
GUJGASLTD,20,Gas Distribution,3.22,-27.8,-1.2,4152.89,9.8,5.7
CONFIPET,12,Gas Distribution,0.92,67.3,-11.5,697.27,-6.5,25.8
IRMENERGY,8,Gas Distribution,2.46,-16.3,-59.2,250.75,8.3,10.9
GICRE,77,General Insurance,9.56,-9.6,9.6,11143.8,-10,2.4
GODIGIT,67,General Insurance,1.29,33,163.3,2436.38,9,6.6
ICICIGI,65,General Insurance,14.63,4.3,67,6161.11,0.2,18.6
POLICYBZR,63,General Insurance,1.56,39.3,69.6,1291.62,10.7,48.3
NIVABUPA,58,General Insurance,0.07,NA,NA,1258.02,-4.8,NA
STARHEALTH,24,General Insurance,3.66,92.6,-27.4,4145.95,2.2,15.9
NIACL,15,General Insurance,2.12,292.6,-51.6,10702.92,-0.8,-5.8
SEJALLTD,62,Glass,3.34,37.4,212.1,61.61,0,30.3
PILITA,77,Home Furnishing,0.07,40,-12.5,30.22,38.4,12.1
FAZE3Q,53,Home Furnishing,3.61,23.2,-24.2,170.05,14.4,31.6
SFL,36,Home Furnishing,1.73,92.2,-40.5,967.11,19,10
ADL,28,Home Furnishing,0.02,-95.8,-92.9,12,-15.1,0.2
PRITI,6,Home Furnishing,1.09,47.3,-54.6,21.66,12.3,-2.5
HCG,94,Hospitals,0.5,-61.2,6.4,558.57,0.9,18.9
NH,93,Hospitals,9.44,-2.9,1.7,1366.68,-2.4,13.5
FORTIS,91,Hospitals,3.28,39.6,76.3,1928.26,-3,14.8
INDRAMEDCO,87,Hospitals,3.58,-22.8,9.1,324.93,-7.1,6
JLHL,86,Hospitals,7.52,-2,15.3,269.13,-1.5,16.8
MAXHEALTH,86,Hospitals,2.46,-15.5,-19.9,1868.31,9.4,39.9
KIMS,84,Hospitals,2.22,-17.2,-75.4,772.4,-0.6,27.5
ARTEMISMED,83,Hospitals,1.51,-8.5,65.9,226.89,-3.3,7.9
MEDANTA,83,Hospitals,5.32,9,13.9,943.44,-1.4,12.8
AGARWALEYE,81,Hospitals,0.72,NA,NA,430.72,-47.5,NA
ASTERDM,75,Hospitals,1.14,-41.2,-68.9,1049.81,-3.4,10
APOLLOHOSP,71,Hospitals,25.89,-1.7,50.9,5526.9,-1.1,13.9
RAINBOW,70,Hospitals,6.76,-13,9.6,398.08,-4.6,18.5
LOTUSEYE,60,Hospitals,-0.12,-300,-130.8,12.25,-5.5,1.2
SHALBY,45,Hospitals,-0.17,-154.8,-109.2,275.63,3,27.5
GPTHEALTH,41,Hospitals,1.49,-17.7,-0.7,102.21,-3.3,5.8
YATHARTH,38,Hospitals,3.16,-12.5,-10.5,219.16,0.6,31.3
MAXIND,32,Hospitals,-10.33,-96,-154.4,34.74,-18.8,-14.7
SURAKSHA,17,Hospitals,1.22,-51.2,NA,58.57,-11.2,NA
ASIANHOTNR,99,Hotels,46.42,273.8,411.8,86.47,10.7,12.5
BLUECOAST,99,Hotels,-0.22,-100.3,79.4,0,NA,NA
TAJGVK,96,Hotels,5.4,72.5,37.8,126.94,20.7,14.2
KAMATHOTEL,95,Hotels,8.88,212.7,-47.6,110.89,29.8,28.6
INDHOTEL,87,Hotels,4.09,4.9,28.6,2533.05,38.7,29
ROHLTD,87,Hotels,6.49,137.7,14.3,89.31,26.8,9
ITCHOTELS,81,Hotels,NA,NA,NA,0,NA,NA
ORIENTHOT,71,Hotels,0.86,168.8,-17.3,121.9,18,19.4
LEMONTREE,70,Hotels,0.79,107.9,54.9,355.18,24.9,23
CHALET,69,Hotels,4.42,169.7,26.3,457.79,21.4,22.5
RHL,68,Hotels,1.46,NA,NA,32.91,-3.3,4
BYKE,63,Hotels,0.2,122.2,-41.2,26.12,27.2,23.4
VHLTD,63,Hotels,1.08,-80.6,212.5,37.75,16.8,-6.2
CCHHL,61,Hotels,-0.07,63.2,41.7,11.43,19.9,-11.8
EIHAHOTELS,57,Hotels,6.55,1826.5,-47.6,133.01,87.7,5
AHLEAST,51,Hotels,2.79,58.5,158.3,32.55,41.1,0.8
EIHOTEL,49,Hotels,4.23,102.4,17.5,800.17,35.8,7.9
PARKHOTELS,48,Hotels,1.51,20.8,-2.6,177.49,25.3,11.7
ADVANIHOTR,44,Hotels,1.29,2250,19.4,35.14,109.9,8.6
MHRIL,40,Hotels,1.72,149.3,160.6,678.43,1.1,6.9
SINCLAIR,37,Hotels,0.22,-50,-80.7,14.43,77.7,1.9
APOLSINHOT,35,Hotels,7.81,-27.8,-45.7,80.91,4.8,-40.3
SAMHI,33,Hotels,1.04,79.3,131.1,295.77,11.4,10.4
TGBHOTELS,32,Hotels,0.23,187.5,-28.1,10.23,18.5,-5.9
JUNIPER,20,Hotels,1.36,208.8,385.7,216.14,0.7,-8.5
HLVLTD,11,Hotels,0.16,220,-33.3,57.73,33,4.1
DIL,1,Hotels,-0.01,-104.8,-111.1,0.69,-95.7,-97
ATLASCYCLE,99,Household Appliances,0.42,-96.9,109.5,2.2,-40.5,69.2
WEL,98,Household Appliances,0.38,660,72.7,221.53,70.9,68.8
EPACK,97,Household Appliances,0.26,129.9,-61.8,376.84,-0.1,35
BLUESTARCO,93,Household Appliances,6.45,37.5,29.5,2807.36,23.3,25.3
STOVEKRAFT,92,Household Appliances,3.67,-27.5,73.9,404.06,-3.4,11.7
ICEMAKE,86,Household Appliances,1.82,-40.3,32.8,110.56,6.9,34
EMSLIMITED,79,Household Appliances,9.09,1.7,35.3,245.29,5.1,22.9
JCHAC,78,Household Appliances,-1.23,88.9,87.5,431.65,8.9,44.1
SYMPHONY,72,Household Appliances,-1.45,-117.8,-124,242,-23.2,-2
VOLTAS,69,Household Appliances,3.99,-1.7,575,3105.11,18.6,18.3
ORIENTELEC,67,Household Appliances,1.27,159.2,3.3,816.82,23.7,8.6
SONAMLTD,66,Household Appliances,0.53,55.9,-49,25.28,3.1,7.8
CROMPTON,63,Household Appliances,1.71,-11.9,23,1769.21,-6.7,4.5
BOROLTD,61,Household Appliances,2.97,92.9,-10.8,338.1,23.4,11.8
EUREKAFORB,58,Household Appliances,1.8,-25.3,41.7,597.84,-11.2,11
TTKPRESTIG,36,Household Appliances,4.22,10.8,-8.1,727.23,-3,-1.5
BUTTERFLY,19,Household Appliances,4.65,-34.5,504.3,238.09,-7.6,0
IFBIND,19,Household Appliances,7.67,-1,78,1270,4.2,9.4
BAJAJELEC,16,Household Appliances,2.89,155.8,-13.7,1289.72,15.3,5
MIRCELECTR,16,Household Appliances,-0.23,-428.6,-243.8,166.81,10.2,-43.4
CELLO,14,Household Appliances,3.91,5.7,-4.4,556.85,13.6,5.6
LAOPALA,13,Household Appliances,2.09,-3.7,-48.3,91.3,0.8,-14.8
HINDWAREAP,8,Household Appliances,-2.12,-14.6,-394.4,594.23,-5.7,-14.3
WHIRLPOOL,6,Household Appliances,3.46,-15.6,53.1,1704.85,-0.5,22
CHOLAHLDNG,90,Housing Finance,25.89,-7.5,3.8,8489.09,4.9,24.9
AADHARHFC,87,Housing Finance,5.56,4.9,NA,797.61,4.4,18.5
AAVAS,84,Housing Finance,18.5,-1.1,24.7,596.74,3,17.5
HOMEFIRST,84,Housing Finance,10.86,5,20.8,405.95,8.9,37
ICDSLTD,82,Housing Finance,-0.59,-218,-6000,0.51,-5.6,-15
SUNDARMFIN,80,Housing Finance,41,4.4,6.4,2190.31,5.1,20.3
RHFL,73,Housing Finance,-0.04,-107.1,20,0.02,NA,NA
PNBHOUSING,72,Housing Finance,18.6,2.9,42.7,1941.76,3.3,10.6
