Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
DDEVPLSTIK,10/02/2025,3.6,4.2,16.3,13.9,19.3
DHARMAJ,10/02/2025,-94.4,-94.4,-80.8,-44,41.3
DIACABS,10/02/2025,56,33.3,NA,22.8,NA
DUCON,10/02/2025,-2.6,-9.1,-47.4,1.6,0.3
DYNPRO,10/02/2025,12,12.7,238,-2.4,33.4
EICHERMOT,10/02/2025,6.4,6.4,17.1,16.7,19
EIFFL,10/02/2025,121.5,129,39.2,45.9,58.2
EIHAHOTELS,10/02/2025,1782.5,1826.5,-47.6,87.7,5
ELGIEQUIP,10/02/2025,-14.9,-15.3,-5.9,-2.5,3.1
EMIL,10/02/2025,28.4,26.2,-33.9,36,6.2
ENGINERSIN,10/02/2025,9.1,8.4,60.8,11,-11.9
EQUIPPP,10/02/2025,38.8,25,-150,2,31.6
ESABINDIA,10/02/2025,-6.5,-6.5,6.2,-0.4,11.9
ESAFSFB,10/02/2025,-11,-10.8,-281,-4.7,-2.5
ESCORTS,10/02/2025,-1.1,-1.1,11.1,18.5,25.9
EUREKAFORB,10/02/2025,-25.5,-25.3,41.7,-11.2,11
FIBERWEB,10/02/2025,-0.6,0,98.4,0.6,70.5
FMNL,10/02/2025,-0.7,-2.6,24.4,-0.4,10.9
FORCEMOT,10/02/2025,-14.6,-14.6,34.9,-2.7,11.7
GALAXYSURF,10/02/2025,-23.8,-23.8,-9.9,-2,10.8
GANDHITUBE,10/02/2025,-12.4,-12.1,14.2,-18.2,-3.8
GARFIBRES,10/02/2025,-27.5,-27.7,-77.4,-16.6,21.2
GENUSPOWER,10/02/2025,-17.9,-17.9,822.6,24.1,132.5
GILLETTE,10/02/2025,-5.3,-5.3,20.9,-12.3,7.2
GRASIM,10/02/2025,67.6,130.2,-38.9,3.7,8.8
GSFC,10/02/2025,-55.1,-55.1,15.5,6.8,40.2
HARIOMPIPE,10/02/2025,-28.9,-28.8,0.3,-4.6,7.1
HBLENGINE,10/02/2025,-25.8,-26.3,-20.5,-13.5,-24.8
HERCULES,10/02/2025,NA,NA,-74.3,NA,-100
HINDCOMPOS,10/02/2025,17.6,17.9,67.3,6.3,14
HISARMETAL,10/02/2025,-29.3,-26.9,-47.6,-12.2,6.9
HITECHCORP,10/02/2025,-51.7,-51.5,-46.8,-16.1,-4.9
HLEGLAS,10/02/2025,-28.8,-33.7,134,-2,-3.5
HONDAPOWER,10/02/2025,122.8,123.3,-32.8,15.2,-22.5
HOVS,10/02/2025,57.1,64.1,81,3.4,42.9
ICRA,10/02/2025,13.7,14.4,30.5,-4.2,5.4
INDIGOPNTS,10/02/2025,51,50.9,-4.4,13.5,-4.1
INDLMETER,10/02/2025,NA,NA,NA,NA,NA
INSECTICID,10/02/2025,-75.7,-75.6,20.4,-42.7,0.3
IRMENERGY,10/02/2025,-16,-16.3,-59.2,8.3,10.9
ISGEC,10/02/2025,-75.9,-78.3,-67.9,-9,0.3
JBFIND,10/02/2025,NA,NA,NA,NA,NA
KCPSUGIND,10/02/2025,-286.2,-285,-1010,14,1.6
KHANDSE,10/02/2025,86.2,118.7,29.6,-14.8,21.1
KIRLOSIND,10/02/2025,-41.8,-51.7,-46.9,-4.4,3.9
LATTEYS,10/02/2025,-67.6,-69.2,-60,-7.2,38
LAXMICOT,10/02/2025,107.2,107.3,113.9,-27.1,32
LFIC,10/02/2025,-157.7,-158.3,-154.1,-58.1,-61.2
LORDSCHLO,10/02/2025,217.5,233.3,142,6.8,11.2
LUMAXIND,10/02/2025,18.3,18.4,30.4,9.3,40.4
MADHAV,10/02/2025,-10.3,2.7,84.6,14.9,4.6
MAHAPEXLTD,10/02/2025,14.1,14.4,92.4,-90.4,-93.1
MALUPAPER,10/02/2025,-1.4,-0.5,-793.5,-3.3,1.9
MANCREDIT,10/02/2025,7.4,7.9,12.7,8.3,44.9
MSTCLTD,10/02/2025,344.5,344.3,397.6,12.8,-56.2
MTARTECH,10/02/2025,-13.1,-13.1,51.7,-8.3,47.5
MUKANDLTD,10/02/2025,-42.3,-42.5,-27.5,0,7.3
MURUDCERA,10/02/2025,-32.7,-31.1,-13.9,17,-1.8
NATIONALUM,10/02/2025,49,48.9,216.9,16.5,39.3
NEULANDLAB,10/02/2025,209.1,209.3,24.7,28,1.3
NFL,10/02/2025,278.9,272,-68.4,33.4,-22.8
NYKAA,10/02/2025,103.3,80,-40,20.9,26.7
ODIGMA,10/02/2025,16.7,33.3,NA,20.4,NA
OMAXE,10/02/2025,37.2,37.2,-131.2,-25.8,-51.8
ORIENTPPR,10/02/2025,46.5,46.2,-733.3,10.5,13.1
ORISSAMINE,10/02/2025,-1024.7,-1045.5,-416.8,-12,-27.3
PATANJALI,10/02/2025,20,19.9,69.4,11.6,15.1
PFOCUS,10/02/2025,-296.2,-281.1,-13.6,1.4,8.1
PNCINFRA,10/02/2025,-2.5,-2.5,-56.4,3,-28.2
POWERMECH,10/02/2025,24.5,22.3,-33.5,29.2,20.8
PPL,10/02/2025,-5.1,-5,-0.8,-3.9,21.6
PRAKASHSTL,10/02/2025,112.5,33.3,-75,-0.2,-25.8
PRUDMOULI,10/02/2025,-50,-50,-57.5,68.8,25.3
RAMCOIND,10/02/2025,425.7,427.8,230.3,-2.7,3
RESPONIND,10/02/2025,-4.8,-4.9,1.1,5.2,37.6
SAMBHAAV,10/02/2025,455.6,200,-72.7,4.4,5.7
SANATHAN,10/02/2025,NA,NA,NA,NA,NA
SANSERA,10/02/2025,8.3,-4.3,-4.7,-4.7,2.1
SAREGAMA,10/02/2025,38.6,38.6,15.8,99.9,136.6
SATIN,10/02/2025,-68.1,-68.2,-87.5,4.1,14.8
SEMAC,10/02/2025,58,56.3,90.8,41.5,67
SHALPAINTS,10/02/2025,-22.5,-22.2,-118.3,2.3,1.5
SHILPAMED,10/02/2025,76.9,76.6,415.9,-7.1,11.3
SIGNATURE,10/02/2025,597.1,613.8,762.5,10.5,193.6
SIL,10/02/2025,-178.2,-180.6,-163.6,70,44.8
SILGO,10/02/2025,20.2,27.9,10,56.9,15.9
SINTERCOM,10/02/2025,180,200,-34.8,15.2,3.2
SMARTLINK,10/02/2025,257.7,275,321.7,-8.3,33.5
SPAL,10/02/2025,10,10.2,36.2,-8.2,42.5
SPARC,10/02/2025,25.9,25.9,17.2,15.6,7
SUKHJITS,10/02/2025,-14.2,-14.2,-66.6,2,3.8
SUMIT,10/02/2025,-21.7,29.1,18.3,-34.8,-30.6
SUPREME,10/02/2025,5.4,1.8,229.4,-15.1,39
SURAJEST,10/02/2025,-37.3,-41.9,10,55.7,60.1
SYNCOMF,10/02/2025,16.6,7.7,-6.7,25.1,100.4
TEMBO,10/02/2025,15.8,16.1,273.8,0.4,46
TIRUPATIFL,10/02/2025,-50.8,-48,-53.6,-19,-19.4
TPLPLASTEH,10/02/2025,28.8,29,11.2,2.3,10
TRACXN,10/02/2025,130.7,130.2,-58.1,-0.2,0.9
TRANSRAILL,10/02/2025,69.5,57.4,NA,24.8,NA
TREJHARA,10/02/2025,-42.1,-41.6,-60.9,1.1,-0.2
TTL,10/02/2025,102,-83.3,104.3,4.2,8.2
TVSSCS,10/02/2025,-323.5,-366.7,-300,-2.7,10
UNITEDTEA,10/02/2025,-30,-29.8,4.7,-8.3,-3.1
UNIVCABLES,10/02/2025,-13.4,-13.5,-34.8,-4.8,30.2
USK,10/02/2025,135.1,135.5,-77.1,-41.5,-72.2
VARROC,10/02/2025,-178.1,-185.2,-112.3,-0.3,10.1
VBL,10/02/2025,-68.9,-71.4,-49.5,-23.2,38.3
VINDHYATEL,10/02/2025,60.3,60.4,-43.2,8.9,-4.3
VSTTILLERS,10/02/2025,-96.2,-96.2,-90,-22.7,28.9
YATRA,10/02/2025,36.7,36.2,433.3,-0.5,113.1
ZIMLAB,10/02/2025,65.3,67.3,-23.4,4.5,-0.1
ZODIAC,10/02/2025,125.7,129.1,79.1,97.6,122
BIRLACABLE,09/02/2025,-24.4,-23.5,-60.9,-13.2,-2.6
KKCL,09/02/2025,-64.2,-64.2,-31.4,-20.3,0.7
RAINBOW,09/02/2025,-12.8,-13,9.6,-4.6,18.5
AARTISURF,08/02/2025,-53.6,-52.6,-86.4,7.9,17.2
ADVENZYMES,08/02/2025,16.3,14.2,-12,15.7,5
AFFLE,08/02/2025,8.9,8.7,28.2,10.8,20.6
ARE&M,08/02/2025,29.5,29.6,20.7,0.9,9.8
ARROWGREEN,08/02/2025,-31.2,-31.1,157.4,-15.1,120.8
ATULAUTO,08/02/2025,54.4,42.3,46.8,7.3,26.3
AUTOIND,08/02/2025,-78.7,-77,-75.4,-0.2,1.4
BANCOINDIA,08/02/2025,-77.7,-77.7,-77.6,-28.6,12
CONFIPET,08/02/2025,20.8,67.3,-11.5,-6.5,25.8
DPSCLTD,08/02/2025,-16.7,-25,-76.9,4,10.8
ELIN,08/02/2025,-70.8,-71.1,-54.1,-12.6,12.5
EXXARO,08/02/2025,303.3,NA,-86.4,13.6,21.6
FIRSTCRY,08/02/2025,76.5,84.5,NA,14,NA
FOCUS,08/02/2025,-100.4,-100,-100,-8.6,-26.8
GODAVARIB,08/02/2025,107.7,106.3,NA,39.3,NA
GTECJAINX,08/02/2025,-9633.3,-14150,-2441.7,-38.3,-33.8
HECPROJECT,08/02/2025,11.7,16.5,-62.8,37.2,60.4
HINDCOPPER,08/02/2025,-38.2,-38.7,-12.2,-36.8,-17.9
ICEMAKE,08/02/2025,-41.6,-40.3,32.8,6.9,34
IFGLEXPOR,08/02/2025,-118,-117.9,-222.4,-7.9,3.4
IPL,08/02/2025,-34.5,-34.3,-31.7,-24.7,14.2
JAYAGROGN,08/02/2025,3.5,-35.8,-9.5,-3.1,35.2
JYOTICNC,08/02/2025,5.7,5.4,41.2,4.4,18.9
KAPSTON,08/02/2025,13.8,14.4,-18.3,8.4,32.9
LAGNAM,08/02/2025,473.2,504.5,-50.6,10.4,20
LIKHITHA,08/02/2025,-0.7,-0.9,6.1,0.7,25.5
MOL,08/02/2025,52.4,51.4,88,4.5,61.6
PAKKA,08/02/2025,-56.7,-62,-35.9,-4.6,6.6
PARAS,08/02/2025,8.7,4.8,82.8,-1.5,33.5
PARKHOTELS,08/02/2025,20,20.8,-2.6,25.3,11.7
PRAKASH,08/02/2025,-7.4,-7.3,2.6,-14,4.6
SAKAR,08/02/2025,-6.4,-6.8,106,1.4,16.4
SARDAEN,08/02/2025,-1.7,0.9,65.7,13.8,42.5
SEJALLTD,08/02/2025,36.5,37.4,212.1,0,30.3
SHAILY,08/02/2025,14.8,14.6,70.2,2.9,24.6
SHRADHA,08/02/2025,9,5.2,-65.1,82.5,-19
STYLAMIND,08/02/2025,-10.9,-10.9,-3.3,-3.1,18.6
SURAKSHA,08/02/2025,-40.9,-51.2,NA,-11.2,NA
XPROINDIA,08/02/2025,-25.2,-25.5,-36,-22,8.7
21STCENMGM,07/02/2025,-253.1,-253.2,-123.1,-115.5,-113.1
3MINDIA,07/02/2025,-15,-15,-8.8,-1.9,15.7
ACE,07/02/2025,17.8,17.8,25.4,15.6,16.2
ACI,07/02/2025,156.9,157.6,-45.5,1.8,-41.2
ADVANIHOTR,07/02/2025,2349.1,2250,19.4,109.9,8.6
AFIL,07/02/2025,9,8.9,7.2,16.7,43.3
AIAENG,07/02/2025,0.9,1,-7.5,2.1,-8.8
AKZOINDIA,07/02/2025,10.9,10.9,-4.8,6.9,1.7
ALEMBICLTD,07/02/2025,-46,-46,2.8,9.4,47
ALKEM,07/02/2025,-8.7,-9.1,5.1,-1.2,1.5
ANIKINDS,07/02/2025,-39.6,-37.1,22.2,5,155.5
ANUHPHR,07/02/2025,-31.4,-31.3,-45.6,-3.9,-7.3
APOLSINHOT,07/02/2025,-28.3,-27.8,-45.7,4.8,-40.3
ASIANTILES,07/02/2025,-119.1,-96.2,104.9,-6.2,-3
ASTRAMICRO,07/02/2025,86.4,87.3,7.5,12.6,11.9
BALRAMCHIN,07/02/2025,4.9,4.5,-24.1,-8.2,-3.1
BALUFORGE,07/02/2025,22.5,22.2,109.7,14.7,73.8
BLKASHYAP,07/02/2025,-88.1,-88.4,-86.5,-9.5,-25.4
BOROLTD,07/02/2025,93.5,92.9,-10.8,23.4,11.8
CAPLIPOINT,07/02/2025,7.1,6.2,17.7,2,13.2
CENTURYPLY,07/02/2025,47,45.3,-9.3,-3.6,21.7
CHEMPLASTS,07/02/2025,-56.4,-56.1,44.5,6.5,19.1
CHOLAHLDNG,07/02/2025,-2.9,-7.5,3.8,4.9,24.9
DELHIVERY,07/02/2025,144.5,126.7,61.9,8.6,8.4
DEVIT,07/02/2025,-77.6,-79.4,-10.5,32.6,50
DIFFNKG,07/02/2025,-25,-43.4,NA,-10.8,NA
DLINKINDIA,07/02/2025,-0.7,-0.7,16.2,-1.6,13
DPABHUSHAN,07/02/2025,48.5,48.6,118.4,7.9,41.6
DRCSYSTEMS,07/02/2025,7.6,8,-42.6,5,24.2
DREAMFOLKS,07/02/2025,5.5,6.6,-18.4,7.3,11.5
DREDGECORP,07/02/2025,148,148,-41.4,58.6,22.2
DVL,07/02/2025,37.3,37.8,633.5,-14.8,122.2
DYNAMATECH,07/02/2025,-70.7,-70.7,-68.7,-12.7,-8.7
EDELWEISS,07/02/2025,13.2,12.8,-7,-31.9,-19.6
ENIL,07/02/2025,332.1,323.3,-62.3,39.9,-1.1
ESSENTIA,07/02/2025,287.5,0,-87.5,-4.9,100.5
EUROTEXIND,07/02/2025,48,49.1,59.3,-100,-100
EXCELINDUS,07/02/2025,-82.6,-82.6,123.1,-27,8.9
FORTIS,07/02/2025,31.7,39.6,76.3,-3,14.8
FSL,07/02/2025,16,15.8,24,9.2,31.7
GARUDA,07/02/2025,25.3,0.7,NA,33,NA
GILLANDERS,07/02/2025,-39.4,-39.3,158.6,0.7,25.7
GINNIFILA,07/02/2025,-630.8,-900,94.8,6.3,14.3
GLOSTERLTD,07/02/2025,124.6,124.4,-63.1,24.4,29.7
GOKEX,07/02/2025,78.4,78.2,37.5,6.3,79.1
GOLDIAM,07/02/2025,124.7,125.1,50.8,104.1,38.5
GRWRHITECH,07/02/2025,-41.7,-41.7,8.5,-24.9,2.8
GSPL,07/02/2025,-20.7,-17,-41.5,9.2,-0.7
HAPPYFORGE,07/02/2025,-9.7,-9.6,9.8,-1.9,3.6
HCL-INSYS,07/02/2025,32.7,30.4,30.4,-16.2,-30.6
HMAAGRO,07/02/2025,-60.4,-61,-59,-0.7,16.2
HNDFDS,07/02/2025,24.9,24.4,23.2,-0.4,20.6
HONAUT,07/02/2025,14.7,14.8,3.2,6.5,1.8
IKIO,07/02/2025,-39.7,-39.3,-59.8,-2.8,3.9
INDORAMA,07/02/2025,130.8,130.8,114.1,22.6,24
INOXINDIA,07/02/2025,17.9,17.8,18.6,8.8,14.8
INSPIRISYS,07/02/2025,248.3,246.9,243.3,-5.6,-34.7
JLHL,07/02/2025,-2,-2,15.3,-1.5,16.8
KAKATCEM,07/02/2025,-755.7,-755.6,-65.3,-21.5,-63.3
KROSS,07/02/2025,41.2,41.6,NA,7.9,NA
LATENTVIEW,07/02/2025,4.6,4.1,-12.5,9,37.4
LICI,07/02/2025,42.5,42.3,16.2,-11.8,-4.8
LINDEINDIA,07/02/2025,9.1,9.2,-3.3,-4.5,-14.2
M&M,07/02/2025,7.8,0.3,19.2,9.4,17.5
MANOMAY,07/02/2025,25.1,26,51.1,5.3,49.1
MANORG,07/02/2025,31,31.5,189.5,-27.3,15.4
MAXESTATES,07/02/2025,1263.2,846.2,920,-0.4,65.2
MAZDOCK,07/02/2025,37.9,37.9,-31.9,14,33.1
MOLDTKPAC,07/02/2025,-3.4,-3.8,-5.3,-0.3,15.2
MONARCH,07/02/2025,-7.9,-8.2,-55,-26.3,1
MOTISONS,07/02/2025,46.6,45.5,-86.3,32.9,17.8
NAVA,07/02/2025,6.4,-50.1,-61.9,-6.4,-9.4
NGLFINE,07/02/2025,-87.3,-87.3,-85.7,-2.5,5
NHPC,07/02/2025,-69.1,-74.4,-58.2,-25.1,11.2
NOIDATOLL,07/02/2025,-3980.9,-4146.7,-3343.2,0,137.6
NRBBEARING,07/02/2025,-38.6,-39.6,-87.2,-7.6,7.7
OIL,07/02/2025,-29.6,-33.7,-62.1,15,-13.3
OLAELEC,07/02/2025,-13.9,-15.3,NA,-13.9,NA
OMINFRAL,07/02/2025,16.6,17.1,-34.2,-44.3,-51.1
ONELIFECAP,07/02/2025,57.5,59.5,-603.4,-14.2,-14.7
ORBTEXP,07/02/2025,-58.8,-58.9,19.7,-10.3,20.5
ORIENTALTL,07/02/2025,301.9,307.1,275.8,-5.1,526.7
PENINLAND,07/02/2025,-369.4,-363.6,-125.2,65.3,-29.6
PNC,07/02/2025,32.7,35.1,-154.5,-19,-56.9
PPAP,07/02/2025,-43.9,-43.3,161.8,-3.9,13.7
PSPPROJECT,07/02/2025,-45.5,-45.6,-83.2,7.8,-10.5
REMSONSIND,07/02/2025,28.9,8.6,-82.4,40.5,24.7
RISHABH,07/02/2025,101,103.7,5.7,-0.6,13.7
ROML,07/02/2025,0,0,-11.9,0.1,-14.4
SCHAND,07/02/2025,51.5,52.4,29,167.4,31.1
SCI,07/02/2025,-77.7,-77.7,-52.1,-10.2,-2.8
SCPL,07/02/2025,-5.7,-4.7,-22.4,-3.8,-18.7
SELAN,07/02/2025,-13.5,-13.4,200.5,-7.2,46.6
SHIVAMAUTO,07/02/2025,-7.2,-7.8,11.8,-6.4,-6.8
SKMEGGPROD,07/02/2025,-13.1,-12.8,-36.7,6,-11.7
SMLISUZU,07/02/2025,-97.6,-97.5,-80.6,-39.6,-14.1
SOMATEX,07/02/2025,-100.5,-100.5,-128.6,-83.9,-72.7
STCINDIA,07/02/2025,121.6,121.6,-88.9,-100,-100
SUNTV,07/02/2025,-11.3,-11.3,-20.7,-11.5,-10.4
SUTLEJTEX,07/02/2025,-34,-34.3,6.5,-4.1,7.9
SVLL,07/02/2025,1366.7,1200,-64.9,6.5,19.6
SWANDEF,07/02/2025,2.1,2.6,NA,16,NA
TASTYBITE,07/02/2025,28.8,29.2,107.6,14,34.6
TCIFINANCE,07/02/2025,-35.3,-12.5,-164.3,-100,-100
THEJO,07/02/2025,12.2,10.4,-25.2,1.6,-9.6
TIL,07/02/2025,-75.4,-80.6,-102,17,553.5
UNIDT,07/02/2025,-36.4,-36.1,4,-33,1.9
UNIVAFOODS,07/02/2025,-400,NA,-500,-100,-100
VALIANTLAB,07/02/2025,149.8,150,174,63.7,-13.2
VSTIND,07/02/2025,186.4,185.4,-77,2,1.2
VSTL,07/02/2025,268.8,285.1,-41.4,4.7,-1.5
WABAG,07/02/2025,-0.2,-0.6,11.1,15.8,15.1
WCIL,07/02/2025,-30.5,-30.6,NA,2.7,NA
ZAGGLE,07/02/2025,8.9,0,11.9,11.2,68.6
AADHARHFC,06/02/2025,5.2,4.9,NA,4.4,18.5
ABMINTLLTD,06/02/2025,-312,-305.6,1.4,-0.2,-21
ACLGATI,06/02/2025,150.8,450,-93.7,3.3,3.8
AGROPHOS,06/02/2025,441.3,434.8,143.5,-27.7,25.9
AKUMS,06/02/2025,-0.6,-0.2,NA,-2.2,NA
ANDHRAPAP,06/02/2025,-72.1,-72,-97.2,-10.8,-19.1
APOLLOTYRE,06/02/2025,13.4,13.5,-32.5,7.6,5
ATFL,06/02/2025,5485.7,5233.3,44.1,1.1,8
AUROPHARMA,06/02/2025,3.5,3.4,-9.9,2.3,8.5
AYMSYNTEX,06/02/2025,-14.4,-25.6,583.3,-6.4,13.9
BAFNAPH,06/02/2025,-64.2,-64,134.8,-17.7,16.5
BAJEL,06/02/2025,-60.3,-59.4,-66.7,-6,126.2
BDL,06/02/2025,20,19.7,-46.2,52.7,38.3
BEML,06/02/2025,-52.2,-52.2,-49.7,1.9,-16.4
BHARTIARTL,06/02/2025,288.5,311.3,484.5,8.8,19.1
BHARTIHEXA,06/02/2025,3.1,3.2,20.6,7.3,25
BIKAJI,06/02/2025,-57.3,-57.4,-39.7,-5.2,10.3
BRITANNIA,06/02/2025,9.5,9.4,4.2,-1.6,7.9
BSE,06/02/2025,-36.8,-36.6,101.6,2.3,95.2
CARRARO,06/02/2025,-71.1,-71.1,NA,-51,NA
CHAMBLFERT,06/02/2025,-0.4,-0.4,19.9,13.2,13.1
COCHINSHIP,06/02/2025,-4.6,-4.5,-26.4,-2.5,4.7
DCXINDIA,06/02/2025,121.5,123.4,-19.8,44.7,42.8
DELPHIFX,06/02/2025,-3015,-3375,-269.6,-5.9,-41.4
DHAMPURSUG,06/02/2025,213.5,212.7,-52.5,-2.2,13
DIAMINESQ,06/02/2025,-70,-69.4,-78.4,-9,-24.2
EIEL,06/02/2025,0.9,-19.6,NA,16.1,NA
EMCURE,06/02/2025,-22.6,-21.2,NA,-2,NA
EXPLEOSOL,06/02/2025,-44.3,-44.3,-42,-0.7,2.9
FINPIPE,06/02/2025,82.7,83.1,0.7,20.9,-1.8
GEEKAYWIRE,06/02/2025,4,4.5,-11.1,-8.5,6.8
GMMPFAUDLR,06/02/2025,131.3,139.7,29.6,-0.5,-6.4
GOODLUCK,06/02/2025,-11.6,-11.3,11.2,-3.5,7.2
GREENPANEL,06/02/2025,-54.2,-54.6,-76.2,6.7,-6.8
GREENPLY,06/02/2025,38.3,37.1,-11.7,-4.1,5.5
GULFOILLUB,06/02/2025,16.2,16.1,20.7,6.5,10.7
HEROMOTOCO,06/02/2025,3.9,4.1,1.1,-2.1,4.8
HIL,06/02/2025,-341.4,-341.8,-397.9,4,2.7
INDIASHLTR,06/02/2025,6.7,6.3,51.5,7.7,45.7
INVENTURE,06/02/2025,100.6,100,-100,-25.4,-30
ITC,06/02/2025,-0.8,-1.3,-9.4,-9.4,4.3
JKLAKSHMI,06/02/2025,414.9,528,-58.9,21.3,-12.1
KICL,06/02/2025,-91,-91,-47.1,-88.5,26.9
KIMS,06/02/2025,-23.4,-17.2,-75.4,-0.6,27.5
KPEL,06/02/2025,15.2,15.3,158.2,3.5,151
KPIGREEN,06/02/2025,21.7,20.5,-49.2,27.4,38.8
KRBL,06/02/2025,29.1,28.7,-1.9,32.4,17
MANGLMCEM,06/02/2025,134.5,138.7,-51.9,22.1,-0.3
MASKINVEST,06/02/2025,-87.5,-70,-96.6,-89.2,-92.6
MAXIND,06/02/2025,-96.6,-96,-154.4,-18.8,-14.7
MINDACORP,06/02/2025,-12.9,-13.1,20.4,-2.9,7.4
MOREPENLAB,06/02/2025,-23.5,-24.6,-31,3.4,1.8
MRF,06/02/2025,-33,-33,-38.1,1.7,13.6
MSUMI,06/02/2025,-8,-5.9,-28.9,-1.1,8.8
MUNJALSHOW,06/02/2025,190.3,188.5,-32.7,0.4,5.2
MUTHOOTMF,06/02/2025,-93.8,-93.9,-97,2.1,17.1
MVGJL,06/02/2025,-5.5,-5.5,31.2,-22.5,4.7
NCC,06/02/2025,17.7,18,-14.7,2.9,1.6
NMDC,06/02/2025,56,55.1,-58.2,33.5,21.4
NOCIL,06/02/2025,-69.4,-69.6,-58.6,-12.3,-6.6
NSLNISP,06/02/2025,-27.3,NA,NA,39.2,128.9
OCCL,06/02/2025,50.7,825,-72.7,-7.8,-71.4
ORIENTCER,06/02/2025,34.1,25,-56.5,2.2,-7.9
ORIENTTECH,06/02/2025,-16,-16.3,NA,-7.3,NA
PARACABLES,06/02/2025,11,10.4,-14,10,37.7
PATINTLOG,06/02/2025,5.8,3.3,0,6.5,16.7
PGEL,06/02/2025,104.3,89.2,89.2,44.1,81.9
PIIND,06/02/2025,-26.7,-26.7,-17.2,-14.4,0.2
PIONEEREMB,06/02/2025,204.2,222.7,914.3,2.4,12.5
PRSMJOHNSN,06/02/2025,144.4,154.2,9500,10.3,7.5
PTL,06/02/2025,-39.7,-40,34,-0.1,-0.4
PVRINOX,06/02/2025,394.6,407.6,163.3,5.9,11.1
RAMCOCEM,06/02/2025,604.1,608.3,91.6,-3,-6
RANEHOLDIN,06/02/2025,-97.7,-98.2,-91.7,35.4,48.2
RCOM,06/02/2025,-4.1,-4.1,-16.5,-1.2,-7.5
RECLTD,06/02/2025,1,0.9,22.5,4.3,18.4
RHL,06/02/2025,9.1,NA,NA,-3.3,4
ROSSTECH,06/02/2025,6600,7000,NA,48.2,NA
RUPA,06/02/2025,29,28.3,11.2,6.5,-0.7
SAHYADRI,06/02/2025,-61,-60.8,-76.9,23.3,-3.2
SAILIFE,06/02/2025,92,NA,NA,-34.9,NA
SAPPHIRE,06/02/2025,305,511.1,-77.7,8.7,13.7
SBIN,06/02/2025,-5.3,-4.7,69.5,3,10.4
SGIL,06/02/2025,41.7,42.4,100.5,9.2,10
SHIVAMILLS,06/02/2025,-116.2,-104.8,-75.3,-25.2,1.4
SHYAMTEL,06/02/2025,-2.5,10,-56.5,-100,-100
SOBHA,06/02/2025,-17,-17.1,23.8,31.1,78.7
SOMANYCERA,06/02/2025,-44.3,-45.7,-57.2,-3.2,5.3
SONATSOFTW,06/02/2025,-1.4,-1.6,338.2,31,14
SPIC,06/02/2025,9.3,8.6,11.2,7.7,61.5
SURYAROSNI,06/02/2025,148.9,147.3,-50.5,22.2,-3.6
TARC,06/02/2025,57.4,57.3,7.6,115.9,-0.3
TCIEXP,06/02/2025,-21.5,-21.5,-36.4,-4.9,-5
TDPOWERSYS,06/02/2025,8.8,8.7,44.7,14.3,44.4
TRENT,06/02/2025,48.2,46.8,32,12,34.3
UMANGDAIRY,06/02/2025,182.2,181.6,5.3,24.6,-19.6
UMESLTD,06/02/2025,400,500,-50,-40,-66.7
UNICHEMLAB,06/02/2025,89.4,89.4,-31.6,15.3,22.7
UNIPARTS,06/02/2025,-9.7,-9.8,-27,-13.7,-19.7
UNOMINDA,06/02/2025,-4.4,-5.2,17.4,-1.4,18.8
VAISHALI,06/02/2025,-28,-27.8,-93.6,34.2,-0.2
VHLTD,06/02/2025,-87.8,-80.6,212.5,16.8,-6.2
VIVIDHA,06/02/2025,22,NA,-111.1,-100,-100
WALCHANNAG,06/02/2025,-55.6,-55.3,22.2,-13,5.6
WEBELSOLAR,06/02/2025,-1.1,-1,174.2,2.6,24451.7
ZEELEARN,06/02/2025,5.5,8.3,-210,28.4,10.2
ZFCVINDIA,06/02/2025,14.2,14.2,25.2,5.4,7.8
ZUARI,06/02/2025,-13.4,-32.8,296.6,12.5,49.9
AARTIPHARM,05/02/2025,35.4,35.3,38.5,17.4,19.8
AGIIL,05/02/2025,9.1,-45.3,-36.5,17.8,25.4
AMJLAND,05/02/2025,-40.5,-40.9,175,38.3,-27.1
ARTEMISMED,05/02/2025,-7.9,-8.5,65.9,-3.3,7.9
ARVINDFASN,05/02/2025,3.2,-10.3,-48.6,-5.5,6.9
AVALON,05/02/2025,37,36.5,242.5,2.1,31
BECTORFOOD,05/02/2025,-11.3,-11.3,-5.5,-0.8,14.7
BLACKBUCK,05/02/2025,82.2,100,NA,15.4,NA
CCL,05/02/2025,-14.8,-15,-2.5,2.7,14.1
CMSINFO,05/02/2025,2.4,2.3,-8.6,-6.9,-0.2
CUMMINSIND,05/02/2025,14.1,14,12.6,23.8,21.8
DAMODARIND,05/02/2025,109.1,115.6,666.7,24.3,-16
DATAPATTNS,05/02/2025,47.3,47.2,-13.2,28.6,-16.2
DHRUV,05/02/2025,10.8,13,-38.9,-32.7,-3
ESTER,05/02/2025,716.4,725,149.8,4.3,29
EVEREADY,05/02/2025,-55.7,-55.9,44,-8,9.3
EXICOM,05/02/2025,-187.9,-189.3,-493.2,28.2,-24.7
GALLANTT,05/02/2025,132.4,130.9,114.1,18.6,5.2
GTLINFRA,05/02/2025,1.8,5.9,-128.6,0.6,0.3
