Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
LAOPALA,14/02/2025,-3.7,-3.7,-48.3,0.8,-14.8
LCCINFOTEC,14/02/2025,56.7,50,-150,-75,-99.2
LEXUS,14/02/2025,104.3,104.3,102.2,10,-28.2
LIBAS,14/02/2025,-183.8,-185.1,-190.5,5.7,18.1
LOKESHMACH,14/02/2025,-217.5,-214.8,-174.3,-31.3,-40.2
LOVABLE,14/02/2025,-90.6,-88.4,-336.6,-18.6,-28
MAHESHWARI,14/02/2025,-33.8,-33.8,0,2.3,-15.2
MBLINFRA,14/02/2025,-228.7,-228,-220,-7.6,-7.1
MCL,14/02/2025,-8.1,-2.9,230.8,27.6,142.7
MCLOUD,14/02/2025,21.7,19,28.2,-3.6,15.6
MEGASOFT,14/02/2025,141.2,141.1,233.9,-100,-100
MIRCELECTR,14/02/2025,-481.9,-428.6,-243.8,10.2,-43.4
MODIRUBBER,14/02/2025,-2.2,-2.4,6.9,57.8,42
MODTHREAD,14/02/2025,-142.9,NA,NA,16.1,-3.6
MOKSH,14/02/2025,0.8,7.1,-14.3,-26,38
MOTHERSON,14/02/2025,3.7,0,45.3,-0.5,7.9
MTNL,14/02/2025,6.1,6,-0.2,-2.4,-11.6
MUKKA,14/02/2025,1698.7,1000,57.1,103.1,-41.4
MUNJALAU,14/02/2025,-109.8,-111.8,81,-0.1,23.6
NAGAFERT,14/02/2025,82.4,83.3,98.4,-17867.4,-114
NAHARINDUS,14/02/2025,215,215.5,-7.4,20.7,18.1
NDGL,14/02/2025,-4.4,-4.2,30.3,-48.5,-84
NH,14/02/2025,-2.9,-2.9,1.7,-2.4,13.5
NORTHARC,14/02/2025,-34.8,-32.5,NA,0.5,NA
NTL,14/02/2025,NA,NA,NA,NA,NA
OBCL,14/02/2025,-33.9,-32.1,-54.8,15.9,NA
OSIAHYPER,14/02/2025,172.2,161.5,33.3,14.5,14.6
OSWALSEEDS,14/02/2025,1391.7,1375,318.5,11.4,-1.8
PANACEABIO,14/02/2025,-6.3,-3.9,338.7,10.9,8.6
PANSARI,14/02/2025,-39.6,-36.5,-74,-31.3,-86.1
PAR,14/02/2025,-93.3,-93.3,-83.5,-38.4,-11.2
PARSVNATH,14/02/2025,75.4,75.4,-140,23.7,-72
PAVNAIND,14/02/2025,-71.2,-71.1,-46.3,-4.5,-4.9
PEARLPOLY,14/02/2025,-988,-1042.9,-407,10.9,41.9
PENIND,14/02/2025,13.3,13.6,14.7,12.3,12.7
PIXTRANS,14/02/2025,-45.1,-45.1,0.4,-12.3,9
PKTEA,14/02/2025,-177.9,-178.2,-501.7,-24.9,-30.3
PLAZACABLE,14/02/2025,5,0,-68.8,3.7,-1.1
POLYPLEX,14/02/2025,-36,-34.2,1094.8,-1,15.1
PRITI,14/02/2025,45,47.3,-54.6,12.3,-2.5
PTCIL,14/02/2025,-17.8,-17.9,58.1,-7.5,20.6
PURVA,14/02/2025,-443.3,-457.1,-215.7,-35.8,-44.5
PVP,14/02/2025,75,80,-100.8,-23,-43.2
RADAAN,14/02/2025,-89.3,-83.3,107.1,-32,-43
RAJSREESUG,14/02/2025,-289.6,-289.8,25.8,-44.4,-40.7
RAMASTEEL,14/02/2025,28.5,33.3,-71.4,4.6,4.8
RATEGAIN,14/02/2025,8.3,8.1,35.7,0.5,10.6
REGENCERAM,14/02/2025,-51.4,-49.5,-57.6,216.8,594.7
RELIABLE,14/02/2025,194.3,219.2,398.8,40.7,62
RELINFRA,14/02/2025,-176,-180.8,-689.9,-30.7,8.5
REPL,14/02/2025,31.4,27,12.7,57.5,29.8
ROLEXRINGS,14/02/2025,-59,-59.1,-45.8,-13.5,-4.9
RPPINFRA,14/02/2025,-0.5,-0.5,-12,-9.9,9
RPSGVENT,14/02/2025,37.3,22.9,12,10.1,29.2
RVNL,14/02/2025,-2.5,-2.8,-20.8,-5.7,-1.8
RVTH,14/02/2025,-92.7,-92.6,NA,114.2,NA
SABTNL,14/02/2025,-32614.3,-22350,-536.9,80.2,490
SADBHAV,14/02/2025,-135.1,-196.9,81.7,16.6,-20.2
SAKUMA,14/02/2025,163.3,100,-92.9,40.8,-38.7
SALASAR,14/02/2025,23,16.7,-65,33.3,23.4
SANDUMA,14/02/2025,294.4,294.9,1050,85.1,214.6
SANWARIA,14/02/2025,47.1,0,NA,-55.2,NA
SASTASUNDR,14/02/2025,75.6,75.4,-4605.6,2.8,-24.9
SECMARK,14/02/2025,-104.2,-104.8,-104.2,-9.3,22
SECURKLOUD,14/02/2025,17.3,-2300,-81.1,-6.2,-53.5
SIGIND,14/02/2025,39.1,41.3,-19.4,18,-2.4
SIGNPOST,14/02/2025,-63.9,-63.8,-41.9,-13.5,7.1
SIMPLEXINF,14/02/2025,-3.6,-4.3,85.7,-14.3,-27.4
SINDHUTRAD,14/02/2025,-106.4,-106.6,-107.2,38.2,22.7
SOMICONVEY,14/02/2025,-38.1,-37,70.3,-19,46.9
SPCENET,14/02/2025,-64.2,-71.4,-81.8,-13.9,31.2
SPLIL,14/02/2025,-92.5,-92.7,-86.5,-32.4,-14.6
SRD,14/02/2025,12.6,12.5,4.7,7.9,18.5
SRHHYPOLTD,14/02/2025,-9.4,-9.4,40.6,-18.7,-35.5
SUDARSCHEM,14/02/2025,-98.3,-98.4,-96.8,-4.3,17.8
SUNDARAM,14/02/2025,-50.3,-50,-700,-11.1,-3
SUPERHOUSE,14/02/2025,-68.7,-69.6,-73.8,-10,13.2
SUPREMEENG,14/02/2025,NA,NA,NA,NA,NA
SURYALAXMI,14/02/2025,291.7,275,-5.8,0.2,4.9
SUVIDHAA,14/02/2025,2.7,0,21.1,-56.5,-40.7
SVPGLOB,14/02/2025,6.4,6.4,-39.9,-17,-80.9
SWANENERGY,14/02/2025,736.5,1033.5,320.6,84.9,19.9
TARAPUR,14/02/2025,465.2,464.7,6300,-100,-100
TARMAT,14/02/2025,-22.7,-22.2,16.7,67.6,14.6
TARSONS,14/02/2025,-59.5,-59.3,-50.3,19.4,NA
THEMISMED,14/02/2025,-96.4,-96.2,-92.9,-19.9,13.6
UCAL,14/02/2025,1115.4,1143.5,966.7,-4.6,8.5
UFLEX,14/02/2025,311.9,311.7,304.6,-2.6,12.8
UMAEXPORTS,14/02/2025,985,814.3,28,31.6,14.5
UNIINFO,14/02/2025,-17.6,0,-176,-9.7,-42
UNIMECH,14/02/2025,-59.8,-62.3,NA,-55.3,NA
UTKARSHBNK,14/02/2025,-426.9,-418.8,-233,-5.5,15.7
UTTAMSUGAR,14/02/2025,330.6,324.2,-25.7,0.8,-22
UYFINCORP,14/02/2025,-40.3,-42.1,-64.5,-67.2,-54.8
VARDMNPOLY,14/02/2025,3438.2,2650,-72.9,17,23.8
VIKASECO,14/02/2025,-122.4,-100,-100,25.8,23.7
VIKASLIFE,14/02/2025,-411.8,-300,-166.7,-12.7,18.6
VINNY,14/02/2025,1784.2,700,-42.9,-14.5,4.4
VISAKAIND,14/02/2025,35.7,35.7,-65.3,14.2,2.1
VLEGOV,14/02/2025,10.6,0,325,89.7,21628.6
WILLAMAGOR,14/02/2025,30.7,31.6,138.6,-64.5,-19.7
XTGLOBAL,14/02/2025,35.3,40,-33.3,0.6,-11.8
ZENTEC,14/02/2025,-32.8,-36.6,14.9,-37.1,52.9
ABINFRA,13/02/2025,27.6,19.3,NA,22.2,NA
ACEINTEG,13/02/2025,-2200,-2000,-250,-55.2,-41.9
AFCONS,13/02/2025,9.9,2,NA,8.5,NA
AGARIND,13/02/2025,49.8,50.2,-0.3,66.4,11
AJOONI,13/02/2025,14.1,0,-60,32.3,69.1
AKSHOPTFBR,13/02/2025,47.5,47.3,-45,10.9,-44
ALLCARGO,13/02/2025,-72.7,-71.4,-47.4,-4.5,27.8
ALPA,13/02/2025,15.1,15.6,91.4,4.7,-4.6
AMDIND,13/02/2025,-53.6,-51.7,-60,-16.7,8.8
AMNPLST,13/02/2025,-0.7,-1.1,-4.3,14.5,8.8
ANURAS,13/02/2025,76.9,68.4,46.3,32.7,32
APCL,13/02/2025,27.1,27.2,-264.6,50.2,-37
ARIES,13/02/2025,-38.9,-38.7,45.7,-12,15.7
ASHOKAMET,13/02/2025,-49,-48.6,200,-52,0.9
ASIANHOTNR,13/02/2025,273.8,273.8,411.8,10.7,12.5
ASMS,13/02/2025,-213.8,-150,-116.7,-1.9,-27.4
ATALREAL,13/02/2025,-44.3,-43.8,-35.7,-29.3,211
AUSOMENT,13/02/2025,-91.8,-91.5,-84,5.3,-99.9
BALPHARMA,13/02/2025,-51.4,-53.8,-50.8,-0.8,-10.5
BANKA,13/02/2025,76,76.1,-290.1,13,0.1
BCLIND,13/02/2025,-30,-31.6,-46.7,2,18.2
BFINVEST,13/02/2025,-80.6,-80.6,-88,-50.3,1.3
BFUTILITIE,13/02/2025,NA,NA,NA,NA,NA
BHAGCHEM,13/02/2025,-34.2,-35.6,-32.6,-1,38
BHARATRAS,13/02/2025,0.8,1,134.1,-21.8,10
BKMINDST,13/02/2025,NA,NA,NA,NA,NA
BROOKS,13/02/2025,-16,-15.2,-23.4,84.6,76.4
BSL,13/02/2025,19.1,20.8,-23.9,-4.7,-0.8
CAPACITE,13/02/2025,16.3,16.5,55.7,14,22.8
CARBORUNIV,13/02/2025,-67.6,-70,-69.2,2.6,9
CCHHL,13/02/2025,65.6,63.2,41.7,19.9,-11.8
CEREBRAINT,13/02/2025,59.7,60,71.4,-12,-11
CEWATER,13/02/2025,NA,NA,NA,NA,NA
CHEVIOT,13/02/2025,-81.4,-81.4,-80.9,5,9.7
CINEVISTA,13/02/2025,-18.4,-18.2,-85.7,-50,-66.7
COFFEEDAY,13/02/2025,-167.1,-206.2,-114.7,4.1,9.1
CONCORDBIO,13/02/2025,-24.9,-24.9,-2.1,-21.3,1.4
CORALFINAC,13/02/2025,-59,-58.9,-34.1,-43.9,3.4
CREATIVEYE,13/02/2025,-256.9,-266.7,-73.9,-100,-100
CUBEXTUB,13/02/2025,62.1,63.7,86.2,31.7,27.2
DCI,13/02/2025,8.9,9.5,56.5,3,31.5
DCM,13/02/2025,2716.4,2717.9,27375,4.2,-7.5
DCW,13/02/2025,1209.1,1225,240.6,-3,19.2
DEEPAKNTR,13/02/2025,-49.5,-49.5,-51.8,-6.3,-5.3
DJML,13/02/2025,40.3,43.6,-61.6,7.6,80.1
DNAMEDIA,13/02/2025,-45.5,-43.6,-59.3,-40.6,-37.4
ELGIRUBCO,13/02/2025,14.8,15.7,-141.4,-7.3,-3.5
EMAMIPAP,13/02/2025,-77.7,-77.6,-95.7,-8.2,-11.8
FCSSOFT,13/02/2025,11.5,-50,-50,-0.8,1.1
GANGESSECU,13/02/2025,-85.8,-85.8,-25.9,-13.8,0.3
GOCLCORP,13/02/2025,1589.2,1579.3,484.3,8.2,-17.3
GODFRYPHLP,13/02/2025,27.2,27.2,48.5,37,51.7
GOKUL,13/02/2025,-88.8,-88.7,-76,17.6,24.7
GOLDTECH,13/02/2025,-104.3,-104.2,42.9,9.4,-16.1
GOYALALUM,13/02/2025,69.8,20,-40,-8.6,33.1
GPPL,13/02/2025,2.7,2.1,-18.5,15.8,-2.5
GRINDWELL,13/02/2025,-9.4,-9.9,-6.8,1.3,6.5
GRMOVER,13/02/2025,66.7,65.8,-13.5,63.1,-31.6
GROBTEA,13/02/2025,-97.2,-97.2,-74,-47.8,-21.1
GSS,13/02/2025,-833.3,-950,-440,-37.9,-50.5
GUJAPOLLO,13/02/2025,-51.8,-51.6,-48.4,-36.7,-54.8
HARRMALAYA,13/02/2025,170.5,171.3,64,3.6,9.7
HARSHA,13/02/2025,-5.5,-5.6,0.9,-1.5,3.5
HAVISHA,13/02/2025,-800,NA,-175,-9.8,0.8
HCC,13/02/2025,-160.9,-155.3,-118.1,-28.4,-31.7
HINDALCO,13/02/2025,-4.5,-4.5,59,0.3,10.6
HITECHGEAR,13/02/2025,-28.1,-28,-54.2,-16.8,-24.9
HPIL,13/02/2025,-56.5,-55.2,-63.4,0.8,34
IGPL,13/02/2025,-2.2,-2,284.6,-4.3,14.3
INDNIPPON,13/02/2025,-24.7,-24.6,30.3,2.3,20
INDOFARM,13/02/2025,NA,NA,NA,NA,NA
INDSWFTLAB,13/02/2025,-97.8,-100,-100,-27.7,-97
INTENTECH,13/02/2025,-32.4,-32.5,-31.8,-11.8,22.2
INTLCONV,13/02/2025,-25.4,-25.5,0.6,-15.3,15.3
IPCALAB,13/02/2025,12.4,7.9,36.6,-4.7,9.4
ISFT,13/02/2025,-31.5,-31.1,6.4,2.2,4.3
ITDC,13/02/2025,-12.9,-13.3,11,-2.8,10.7
ITI,13/02/2025,4.2,4.1,27.8,1.8,299.5
IVC,13/02/2025,NA,NA,NA,NA,NA
JAYSREETEA,13/02/2025,141.5,141.5,18100,-22.1,13.8
JETFREIGHT,13/02/2025,143.8,161.5,-64.9,7.5,3.8
JMA,13/02/2025,72.4,70.3,31.4,42.7,3.7
KAMOPAINTS,13/02/2025,61.8,50,-91.5,34.9,-6.5
KANORICHEM,13/02/2025,-73.9,-20.5,-112.2,-7,1.6
